SrNo,ADDRESS,CAUSE,TypeOfEnv,NoOfFiremen,NoOfVehicles,CallTime,ReachTime,ReturnTime,SecondCallReqd,SCRBoolean,EquipmentUsed,CASUALITY,CasualityBoolean,ACTION,ExtinguishedBy,ExtinguishedByBoolean,ExtinguishTime,ScaledExt,SeverityScore,CallTimeForClustering,ScaledClust,Cluster,Value
30,"sion panvel highway rd,hari om computer shop sec17",wiring ,Shop,5,1,2019-03-11 19:35:00,2019-03-11 19:38:00,2019-03-11 20:55:00,No,0,Multi water tender ,No,0,Extinguish ,Firemen,1,74,0.28185328185328185,10.755568980847274,1175,19.583333333333332,2,3.031492415451162
20,"Vashi Sion Panvel Highway,Sec17",Meter room caught fire,Residental,5,1,2019-03-11 01:30:00,2019-03-11 01:38:00,2019-03-11 03:00:00,No,0,ABC fire extinguisher,No,0,Extinguish,Firemen,1,74,0.28185328185328185,10.755568980847274,90,1.5,2,3.031492415451162
35,"Vashi koparkhairne rd, Sec 12,railway station slum area",unknown,rail road,5,1,2019-03-11 16:10:00,2019-03-11 16:15:00,2019-03-11 17:25:00,No,0,Fire engine pump and water,No,0,Extinguish ,Firemen,1,65,0.2471042471042471,10.755568980847274,970,16.166666666666668,2,2.65774677519006
32,"Vashi Sion Panvel sec 6, wokaand hospital",unknown,hospital,4,1,2019-03-11 21:00:00,2019-03-11 21:05:00,2019-03-11 22:11:00,No,0,mini water tender,No,0,Extinguish ,Firemen,1,61,0.23166023166023167,10.755568980847274,1260,21.0,2,2.491637601740681
39,sion panvel highway rd,Riots,Road ,5,1,2019-03-11 20:05:00,2019-03-11 20:10:00,2019-03-11 21:15:00,No,0,gas engine and water,No,0,Extinguish ,Firemen,1,60,0.2277992277992278,10.755568980847274,1205,20.083333333333336,2,2.450110308378336
28,"vashi kopar rd, sec 10, behind shabri hotel",unknown,road,4,1,2019-03-11 03:10:00,2019-03-11 03:12:00,2019-03-11 04:10:00,No,0,water,No,0,Extinguish ,Firemen,1,56,0.21235521235521235,10.755568980847274,190,3.166666666666667,2,2.2840011349289577
52,"Turbhe Road,APMC,Bunder Market",Car caught fire,Road,5,1,2019-03-11 14:00:00,2019-03-11 14:05:00,2019-03-11 15:05:00,No,0,Water,No,0,Extinguisher,Firemen,1,55,0.2084942084942085,10.755568980847274,840,14.0,2,2.2424738415666132
4,"omkar soc, sec22, turbhe gaon",fridge S.C,residence,5,1,2019-03-11 05:30:00,2019-03-11 05:34:00,2019-03-11 06:30:00,No,0,water,No,0,extinguish,Firemen,1,52,0.1969111969111969,10.755568980847274,330,5.5,2,2.117891961479579
46,thane belapur highway rd APMC market office,Car's engine caught fire,Road ,5,1,2019-03-11 16:50:00,2019-03-11 16:57:00,2019-03-11 17:55:00,No,0,Multi water tender,No,0,Extinguish ,Firemen,1,51,0.19305019305019305,10.755568980847274,1010,16.833333333333332,2,2.0763646681172343
25,"Vashi Koparkhirne Road, Sec 19 Shivam apartment",Bedsheet / Matres caught fire,Residental,9,2,2019-03-11 22:55:00,2019-03-11 22:57:00,2019-03-11 23:55:00,Yes,1,Multi water tender ,No,0,Extinguish by civilians,Civilians,0,56,0.21235521235521235,9.085566289130947,1375,22.916666666666668,2,1.929367358695761
9,"thane belapur rd, MIDC pawne, plot no 145",chemical drum caught fire,industry,4,1,2019-03-11 01:05:00,2019-03-11 01:15:00,2019-03-11 01:51:00,Yes,1,water,No,0,extinguish,Firemen,1,26,0.09652509652509653,19.84113526997822,65,1.0833333333333333,0,1.9151674971021448
1,"snehadeep soc, koparkhairne, sec17",electric meter room S.C,residence,6,1,2019-03-11 14:45:00,2019-03-11 14:49:00,2019-03-11 15:40:00,No,0,exhaust blower,No,0,extinguish,Firemen,1,47,0.1776061776061776,10.755568980847274,885,14.75,2,1.9102554946678556
62,"Shikha Tower,Sec 1, Koparkhairne",Meter room caught fire,Office,4,1,2019-03-11 22:00:00,2019-03-11 22:05:00,2019-03-11 22:57:00,No,0,Multi-Purpose fire extinguisher and water,No,0,Extinguish,Firemen,1,47,0.1776061776061776,10.755568980847274,1320,22.0,2,1.9102554946678556
43,"vashi koparkhairne highway rd, sec28, behind Diamond hotel",Grass,Road ,4,1,2019-03-11 21:00:00,2019-03-11 21:05:00,2019-03-11 21:56:00,No,0,Mini water tender,No,0,Extinguish water ,Firemen,1,46,0.17374517374517376,10.755568980847274,1260,21.0,2,1.868728201305511
34,"Thane Belapur road,Turbhe naka,near bridge",Tree caught fire,road,5,1,2019-03-11 07:02:00,2019-03-11 07:05:00,2019-03-11 07:50:00,No,0,water,No,0,Extinguish ,Firemen,1,42,0.1583011583011583,10.755568980847274,422,7.033333333333333,2,1.702619027856132
38,panvel vashi gaon slum area jagratheshwar temple road,Grass,slum,5,1,2019-03-11 21:50:00,2019-03-11 21:55:00,2019-03-11 22:40:00,No,0,Multi-Purpose fire Extinguisher ,No,0,Extinguish ,Firemen,1,40,0.15057915057915058,10.755568980847274,1310,21.833333333333332,2,1.619564441131443
6,"devashish soc, vashi kopar rd, sec28, vashi",electric meter room S.C(plywood caught fire),residence,5,1,2019-03-11 02:15:00,2019-03-11 02:18:00,2019-03-11 03:00:00,No,0,mini water tender,No,0,power cut & poured water,Firemen,1,39,0.14671814671814673,10.755568980847274,135,2.25,2,1.5780371477690982
5,"thane belapur rd, sec 12, vashi, aminman apt",property caught fire from S.C,residence,5,1,2019-03-11 10:15:00,2019-03-11 10:18:00,2019-03-11 10:56:00,No,0,water,No,0,extinguish,Firemen,1,35,0.13127413127413126,10.755568980847274,615,10.25,5,1.4119279743197193
44,"vashi palm beach rd, sec 4, behind vrindhavan society",Transformer wire caught fire,Road ,5,1,2019-03-11 12:55:00,2019-03-11 13:00:00,2019-03-11 13:40:00,No,0,Fire engine pump,No,0,"Stopped supply of transformer , extinguish ",Firemen,1,35,0.13127413127413126,10.755568980847274,775,12.916666666666666,5,1.4119279743197193
23,"Vashi koparkhairne rd, Sec 12,Ganesh row house, Plot 28",Indoor wooden mandir ,Residental,4,1,2019-03-11 21:02:00,2019-03-11 21:05:00,2019-03-11 21:42:00,No,0,Multi-Purpose fire Extinguisher ,No,0,Extinguish,Firemen,1,34,0.1274131274131274,10.755568980847274,1262,21.03333333333333,5,1.3704006809573746
60,"Thane Belapur road,Turbhe naka",Truck's cabin caught fire,Road,4,1,2019-03-11 00:25:00,2019-03-11 00:31:00,2019-03-11 01:10:00,No,0,Water,No,0,Extinguish Water,Firemen,1,33,0.12355212355212356,10.755568980847274,25,0.4166666666666667,5,1.32887338759503
27,"vashi turbhe road sec18,mapro market",Garbage caught fire ,road,4,1,2019-03-11 17:45:00,2019-03-11 17:49:00,2019-03-11 18:25:00,No,0,Multi water tender ,No,0,Extinguish ,Firemen,1,32,0.11969111969111969,10.755568980847274,1065,17.75,5,1.2873460942326853
14,"turbhe vashi rd, kanda-batata market, sec18, sirsa comp",AC caught fire,commercial,6,1,2019-03-11 17:47:00,2019-03-11 17:50:00,2019-03-11 18:25:00,No,0,"multipurpose fire engine, water",No,0,extinguish,Firemen,1,32,0.11969111969111969,10.755568980847274,1067,17.783333333333335,5,1.2873460942326853
2,"vashi koparkhairne rd, sec16",overheaed car engine,burning car,7,1,2019-03-11 09:35:00,2019-03-11 09:37:00,2019-03-11 10:10:00,No,0,water,No,0,disconnected battery & cooled engine,Firemen,1,31,0.11583011583011583,10.755568980847274,575,9.583333333333334,5,1.2458188008703406
54,"Shikha Tower,Sec 1, Koparkhairne",Meter room caught fire,Office,5,1,2019-03-11 23:05:00,2019-03-11 23:10:00,2019-03-11 23:45:00,No,0,No,No,0,Cut off supply,Firemen,1,30,0.11196911196911197,10.755568980847274,1385,23.083333333333336,5,1.2042915075079959
24,"Sion panvel highway rd, Vashi ,Sec16 behind Vishnudas Bhave",unknown,Road,5,1,2019-03-11 09:25:00,2019-03-11 09:26:00,2019-03-11 09:47:00,No,0,2cans ABC fire extinguisher,Man was burned near transformer,1,Extinguish,Firemen,1,20,0.07335907335907337,14.882703365892365,565,9.416666666666666,0,1.091781327999826
7,"vashi belapur rd, APMC market",SC,market,5,1,2019-03-11 20:50:00,2019-03-11 20:52:00,2019-03-11 21:20:00,No,0,water,No,0,extinguish,Firemen,1,26,0.09652509652509653,10.755568980847274,1250,20.833333333333336,5,1.0381823340586172
18,"vashi kopar rd, sec20, snehadeep hospital",wiring S.C,hospital,4,1,2019-03-11 22:06:00,2019-03-11 22:10:00,2019-03-11 22:40:00,No,0,fire extinguisher,No,0,"current supply cut-off, extinguish",Firemen,1,26,0.09652509652509653,10.755568980847274,1326,22.099999999999998,5,1.0381823340586172
33,"vashi palm beach rd, inorbit mall","Garbage ,underground cable",Road ,4,1,2019-03-11 14:10:00,2019-03-11 14:12:00,2019-03-11 14:40:00,No,0,Multpurpose water tender,No,0,Extinguish ,Firemen,1,26,0.09652509652509653,10.755568980847274,850,14.166666666666668,5,1.0381823340586172
19,"sion panvel highway rd, vashi bridge, sec30",Unknown,car,4,1,2019-03-11 16:15:00,2019-03-11 16:20:00,2019-03-11 16:50:00,No,0,mini water tender,No,0,extinguish,Firemen,1,25,0.09266409266409266,10.755568980847274,975,16.25,5,0.9966550406962724
61,"Vashi Thane Palm beach road,Sec11,Ananya Vas Building",Room caught fire,Room,5,1,2019-03-11 21:40:00,2019-03-11 21:50:00,2019-03-11 22:25:00,No,0,Multi-Purpose fire extinguisher and water,No,0,Extinguish,Firemen,1,25,0.09266409266409266,10.755568980847274,1300,21.666666666666668,5,0.9966550406962724
37,"sion panvel highway rd,sahitya sabhagruha, sec6",Short circuit of solar panel,Residental,5,1,2019-03-11 14:33:00,2019-03-11 14:37:00,2019-03-11 15:06:00,No,0,ABC fire extinguisher,No,0,Extinguish ,Firemen,1,25,0.09266409266409266,10.755568980847274,873,14.549999999999999,5,0.9966550406962724
58,"Sion Panvel, Sec 13,Bajrang Paper Mart",Short circuit,Shop,5,1,2019-03-11 12:24:00,2019-03-11 12:28:00,2019-03-11 12:55:00,No,0,ABC fire extinguisher,No,0,Cut off supply and extinguish,Firemen,1,23,0.08494208494208494,10.755568980847274,744,12.400000000000002,5,0.9136004539715831
40,"thane belapur highway ,turbhe gaon, sec22",mscb DP short circuit,road,5,1,2019-03-11 04:35:00,2019-03-11 04:40:00,2019-03-11 05:05:00,No,0,fire extinguisher and muti purpose tender,No,0,Cut off supply,Firemen,1,20,0.07335907335907337,10.755568980847274,275,4.583333333333333,5,0.7890185738845491
47,"sion panvel vashi gaon, plot 57, ganga society ",Short circuit of cable,Residental,5,1,2019-03-11 06:15:00,2019-03-11 06:17:00,2019-03-11 06:35:00,No,0,No,No,0,Main supply was stopped,Firemen,1,16,0.05791505791505792,10.755568980847274,375,6.25,5,0.6229094004351703
11,"vashi, sec 10, next to reliance fresh",meter box caught fire,road,5,1,2019-03-11 07:10:00,2019-03-11 07:12:00,2019-03-11 07:30:00,No,0,No,No,0,power supply cut & inspection,Firemen,1,16,0.05791505791505792,10.755568980847274,430,7.166666666666666,5,0.6229094004351703
59,"Vashi Koparkhirne Road,Sec 11,Juhu Gaon,Hotel Kapil Bar",Cylinder caught fire,Hotel,5,1,2019-03-11 12:00:00,2019-03-11 12:05:00,2019-03-11 12:25:00,No,0,ABC powder,No,0,Extinguish Water,Firemen,1,15,0.05405405405405406,10.755568980847274,720,12.0,5,0.5813821070728257
51,"vashi, sec16, neelgiri society,  street",Street light S. C,Road ,5,1,2019-03-11 19:58:00,2019-03-11 20:00:00,2019-03-11 20:15:00,No,0,Mini water tender,No,0,Extinguish water ,Firemen,1,13,0.04633204633204633,10.755568980847274,1198,19.96666666666667,5,0.4983275203481362
36,"sion panvel highway rd,kerala bhawan",Garbage caught fire ,ground,5,1,2019-03-11 11:55:00,2019-03-11 11:58:00,2019-03-11 00:35:00,No,0,Multi-Purpose fire Extinguisher ,No,0,Extinguish ,Firemen,1,10,0.03474903474903475,10.755568980847274,715,11.916666666666668,5,0.3737456402611022
21,"Vashi Koparkhirne Road,Sec 11,Palime apartment",Garbage caught fire due to fireworks,Residental,1,1,2019-03-11 23:05:00,2019-03-11 23:20:00,2019-03-11 00:10:00,No,0,Mini tender,No,0,Extinguish,Firemen,1,10,0.03474903474903475,10.755568980847274,1385,23.083333333333336,5,0.3737456402611022
53,"Sion Panvel, Sec17,Jai Jawn Building",First Floor cable caught fire,Residental,5,1,2019-03-11 22:50:00,2019-03-11 22:55:00,2019-03-11 23:10:00,No,0,Mini water tender,No,0,Cut off supply,Firemen,1,10,0.03474903474903475,10.755568980847274,1370,22.833333333333332,5,0.3737456402611022
48,"thane belapur rd, koparkhairne, sec2, prestige exclusive shop",unknown,Shop,4,1,2019-03-11 12:17:00,2019-03-11 12:20:00,2019-03-11 02:45:00,No,0,Water ,No,0,Extinguish water ,Firemen,1,10,0.03474903474903475,10.755568980847274,737,12.283333333333331,5,0.3737456402611022
45,"vashi palm beach uran rf, vaishav logistics, container godown",unknown,Godown,0,0,2019-03-11 16:00:00,2019-03-11 16:35:00,2019-03-11 17:00:00,No,0,Water browser ,No,0,Extinguish water ,Firemen,1,10,0.03474903474903475,10.755568980847274,960,16.0,5,0.3737456402611022
26,"Vashi Koparkhirne Road, near bus depot",Tree caught fire,Bus Depot,4,1,2019-03-11 22:08:00,2019-03-11 23:02:00,2019-03-11 22:50:00,No,0,Multi-Purpose fire Extinguisher ,No,0,Extinguish,Firemen,1,10,0.03474903474903475,10.755568980847274,1328,22.133333333333333,5,0.3737456402611022
3,"vashi palm beach rd, sec16",cable caught fire(transformer),transformer,5,1,2019-03-11 11:50:00,2019-03-11 11:58:00,2019-03-11 12:09:00,No,0,ABC fire extinguisher,No,0,lock broken,Firemen,1,3,0.007722007722007722,10.755568980847274,710,11.833333333333334,5,0.08305458672468938
